"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 05:46:59.577,3 Dec 2013 06:01:33.807,874.229
2,3 Dec 2013 07:29:34.796,3 Dec 2013 07:40:11.946,637.150
3,3 Dec 2013 14:44:02.375,3 Dec 2013 14:59:52.966,950.591
4,3 Dec 2013 16:24:58.127,3 Dec 2013 16:40:57.651,959.524
5,3 Dec 2013 18:07:34.806,3 Dec 2013 18:20:12.728,757.922
6,4 Dec 2013 06:27:37.036,4 Dec 2013 06:42:08.199,871.162
7,4 Dec 2013 08:09:42.994,4 Dec 2013 08:20:51.053,668.059
8,4 Dec 2013 15:28:43.247,4 Dec 2013 15:44:11.795,928.548
9,4 Dec 2013 17:08:56.774,4 Dec 2013 17:16:35.326,458.552
10,5 Dec 2013 07:08:37.347,5 Dec 2013 07:22:48.775,851.429
11,5 Dec 2013 08:49:48.819,5 Dec 2013 09:02:06.574,737.755
12,5 Dec 2013 16:14:49.831,5 Dec 2013 16:30:13.414,923.583
13,6 Dec 2013 06:15:47.805,6 Dec 2013 06:28:18.015,750.210
14,6 Dec 2013 07:51:21.586,6 Dec 2013 08:06:37.825,916.239
15,6 Dec 2013 09:30:15.112,6 Dec 2013 09:44:00.933,825.821
16,6 Dec 2013 17:01:06.516,6 Dec 2013 17:16:28.173,921.656
17,7 Dec 2013 03:51:17.820,7 Dec 2013 04:00:29.701,551.882
18,7 Dec 2013 05:24:40.149,7 Dec 2013 05:39:23.272,883.123
19,7 Dec 2013 07:00:45.699,7 Dec 2013 07:15:55.378,909.679
20,7 Dec 2013 08:38:22.462,7 Dec 2013 08:50:39.988,737.526
21,7 Dec 2013 10:17:49.149,7 Dec 2013 10:23:07.075,317.926
22,7 Dec 2013 17:47:27.272,7 Dec 2013 18:02:48.074,920.802
23,8 Dec 2013 01:23:58.851,8 Dec 2013 01:34:32.746,633.895
24,8 Dec 2013 02:58:26.613,8 Dec 2013 03:12:33.949,847.335
25,8 Dec 2013 04:34:08.408,8 Dec 2013 04:49:34.389,925.980
26,8 Dec 2013 06:11:30.938,8 Dec 2013 06:24:57.232,806.294
27,8 Dec 2013 18:33:47.666,8 Dec 2013 18:49:07.708,920.042
28,9 Dec 2013 02:05:12.290,9 Dec 2013 02:19:02.975,830.685
29,9 Dec 2013 03:44:02.385,9 Dec 2013 03:58:30.286,867.901
30,9 Dec 2013 05:23:32.530,9 Dec 2013 05:33:16.149,583.619
31,9 Dec 2013 17:50:44.040,9 Dec 2013 17:54:47.073,243.033
32,9 Dec 2013 19:20:01.011,9 Dec 2013 19:35:23.161,922.150
33,10 Dec 2013 02:46:53.888,10 Dec 2013 02:59:28.758,754.870
34,10 Dec 2013 04:26:35.047,10 Dec 2013 04:40:31.190,836.142

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 05:23:30.541,3 Dec 2013 05:34:26.727,656.186
2,3 Dec 2013 07:02:32.487,3 Dec 2013 07:16:59.954,867.467
3,3 Dec 2013 14:18:56.469,3 Dec 2013 14:34:28.472,932.004
4,3 Dec 2013 15:59:38.152,3 Dec 2013 16:15:48.375,970.224
5,3 Dec 2013 17:41:38.954,3 Dec 2013 17:55:40.839,841.884
6,4 Dec 2013 06:03:57.538,4 Dec 2013 06:14:55.564,658.026
7,4 Dec 2013 07:43:00.575,4 Dec 2013 07:57:38.773,878.198
8,4 Dec 2013 15:04:56.599,4 Dec 2013 15:19:44.666,888.067
9,4 Dec 2013 16:42:47.868,4 Dec 2013 16:53:02.878,615.010
10,5 Dec 2013 06:44:56.725,5 Dec 2013 06:55:23.123,626.398
11,5 Dec 2013 08:23:36.282,5 Dec 2013 08:38:40.390,904.108
12,5 Dec 2013 15:51:13.511,5 Dec 2013 16:05:47.747,874.236
13,5 Dec 2013 17:28:53.583,5 Dec 2013 17:38:57.837,604.254
14,6 Dec 2013 05:52:22.630,6 Dec 2013 06:03:17.884,655.254
15,6 Dec 2013 07:27:17.166,6 Dec 2013 07:42:12.262,895.096
16,6 Dec 2013 09:04:34.837,6 Dec 2013 09:20:12.132,937.295
17,6 Dec 2013 16:37:32.041,6 Dec 2013 16:52:09.978,877.937
18,6 Dec 2013 18:15:41.792,6 Dec 2013 18:24:39.767,537.974
19,7 Dec 2013 03:29:05.835,7 Dec 2013 03:34:47.062,341.227
20,7 Dec 2013 05:00:58.492,7 Dec 2013 05:14:57.030,838.539
21,7 Dec 2013 06:36:34.569,7 Dec 2013 06:51:57.486,922.916
22,7 Dec 2013 08:13:50.649,7 Dec 2013 08:27:09.192,798.543
23,7 Dec 2013 09:52:37.869,7 Dec 2013 10:00:21.734,463.865
24,7 Dec 2013 17:23:48.282,7 Dec 2013 17:38:38.634,890.352
25,7 Dec 2013 19:03:07.856,7 Dec 2013 19:10:08.247,420.391
26,8 Dec 2013 01:00:30.801,8 Dec 2013 01:09:53.552,562.751
27,8 Dec 2013 02:34:43.661,8 Dec 2013 02:48:08.770,805.109
28,8 Dec 2013 04:10:04.768,8 Dec 2013 04:25:26.220,921.452
29,8 Dec 2013 05:46:58.364,8 Dec 2013 06:01:19.900,861.536
30,8 Dec 2013 07:26:42.852,8 Dec 2013 07:33:58.377,435.526
31,8 Dec 2013 18:10:01.752,8 Dec 2013 18:25:03.774,902.023
32,8 Dec 2013 19:51:01.046,8 Dec 2013 19:55:29.477,268.431
