"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:17:16.949,3 Dec 2013 01:28:53.725,696.776
2,3 Dec 2013 02:50:08.460,3 Dec 2013 03:02:05.255,716.795
3,3 Dec 2013 04:22:27.478,3 Dec 2013 04:34:17.535,710.057
4,3 Dec 2013 05:54:40.781,3 Dec 2013 06:06:37.876,717.095
5,3 Dec 2013 07:27:55.466,3 Dec 2013 07:39:32.728,697.263
6,3 Dec 2013 09:03:26.581,3 Dec 2013 09:13:01.137,574.556
7,3 Dec 2013 10:42:00.863,3 Dec 2013 10:47:26.941,326.078
8,3 Dec 2013 12:14:58.558,3 Dec 2013 12:27:01.495,722.937
9,3 Dec 2013 19:42:33.348,3 Dec 2013 19:46:38.351,245.003
10,3 Dec 2013 21:13:06.884,3 Dec 2013 21:23:59.594,652.710
11,3 Dec 2013 22:47:28.421,3 Dec 2013 22:57:21.803,593.382
12,4 Dec 2013 00:20:27.483,4 Dec 2013 00:29:30.657,543.174
13,4 Dec 2013 01:51:50.374,4 Dec 2013 02:01:34.766,584.393
14,4 Dec 2013 03:22:38.318,4 Dec 2013 03:34:02.024,683.706
15,4 Dec 2013 04:54:45.763,4 Dec 2013 05:06:20.063,694.300
16,4 Dec 2013 06:31:24.254,4 Dec 2013 06:39:28.553,484.299
17,4 Dec 2013 08:10:26.128,4 Dec 2013 08:21:09.798,643.670
18,4 Dec 2013 09:47:10.305,4 Dec 2013 09:59:15.630,725.325
19,5 Dec 2013 02:26:43.358,5 Dec 2013 02:36:52.137,608.779
20,5 Dec 2013 04:04:03.569,5 Dec 2013 04:16:49.349,765.780
21,5 Dec 2013 05:43:25.491,5 Dec 2013 05:56:08.930,763.438
22,5 Dec 2013 07:22:06.140,5 Dec 2013 07:33:33.614,687.474
23,6 Dec 2013 01:41:32.485,6 Dec 2013 01:53:07.303,694.818
24,6 Dec 2013 03:19:33.859,6 Dec 2013 03:32:16.601,762.743
25,6 Dec 2013 04:58:41.749,6 Dec 2013 05:10:20.323,698.574
26,6 Dec 2013 23:18:28.638,6 Dec 2013 23:29:44.830,676.192
27,7 Dec 2013 00:55:43.759,7 Dec 2013 01:08:28.413,764.654
28,7 Dec 2013 02:34:33.123,7 Dec 2013 02:46:26.601,713.479
29,7 Dec 2013 04:06:51.200,7 Dec 2013 04:18:10.790,679.589
30,7 Dec 2013 05:38:55.458,7 Dec 2013 05:49:57.127,661.668
31,7 Dec 2013 07:11:15.329,7 Dec 2013 07:22:48.109,692.780
32,7 Dec 2013 08:44:48.034,7 Dec 2013 08:56:54.663,726.628
33,7 Dec 2013 10:19:55.982,7 Dec 2013 10:32:14.789,738.806
34,7 Dec 2013 11:56:15.727,7 Dec 2013 12:08:37.546,741.819
35,7 Dec 2013 20:52:53.375,7 Dec 2013 21:04:51.366,717.991

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:00:00.000,3 Dec 2013 01:05:17.149,317.149
2,3 Dec 2013 02:26:58.794,3 Dec 2013 02:38:56.105,717.311
3,3 Dec 2013 03:59:25.082,3 Dec 2013 04:11:15.753,710.670
4,3 Dec 2013 05:31:34.795,3 Dec 2013 05:43:29.867,715.072
5,3 Dec 2013 07:04:26.692,3 Dec 2013 07:16:15.661,708.969
6,3 Dec 2013 08:39:17.627,3 Dec 2013 08:49:36.145,618.518
7,3 Dec 2013 10:17:04.964,3 Dec 2013 10:23:27.449,382.485
8,3 Dec 2013 11:51:14.558,3 Dec 2013 12:03:21.542,726.984
9,3 Dec 2013 13:29:24.233,3 Dec 2013 13:32:34.513,190.280
10,3 Dec 2013 20:49:21.546,3 Dec 2013 21:00:23.344,661.799
11,3 Dec 2013 22:23:59.724,3 Dec 2013 22:34:10.156,610.432
12,3 Dec 2013 23:57:21.926,4 Dec 2013 00:06:31.697,549.771
13,4 Dec 2013 01:29:06.960,4 Dec 2013 01:38:31.224,564.263
14,4 Dec 2013 02:59:53.420,4 Dec 2013 03:10:54.272,660.852
15,4 Dec 2013 04:31:30.021,4 Dec 2013 04:43:19.424,709.402
16,4 Dec 2013 06:06:10.296,4 Dec 2013 06:14:36.252,505.955
17,4 Dec 2013 07:46:06.961,4 Dec 2013 07:55:43.965,577.004
18,4 Dec 2013 09:22:56.654,4 Dec 2013 09:35:24.231,747.577
19,4 Dec 2013 11:02:12.706,4 Dec 2013 11:06:04.718,232.012
20,5 Dec 2013 02:03:39.241,5 Dec 2013 02:10:57.860,438.619
21,5 Dec 2013 03:39:19.637,5 Dec 2013 03:52:00.300,760.663
22,5 Dec 2013 05:18:38.370,5 Dec 2013 05:31:19.897,761.527
23,5 Dec 2013 06:57:24.822,5 Dec 2013 07:09:39.833,735.011
24,6 Dec 2013 01:17:40.874,6 Dec 2013 01:28:06.875,626.001
25,6 Dec 2013 02:54:51.299,6 Dec 2013 03:07:31.609,760.310
26,6 Dec 2013 04:33:51.357,6 Dec 2013 04:46:05.830,734.473
27,6 Dec 2013 06:15:25.601,6 Dec 2013 06:19:31.507,245.906
28,6 Dec 2013 22:55:10.502,6 Dec 2013 23:04:48.956,578.454
29,7 Dec 2013 00:31:02.382,7 Dec 2013 00:43:46.106,763.724
30,7 Dec 2013 02:10:12.175,7 Dec 2013 02:22:57.402,765.227
31,7 Dec 2013 03:43:47.870,7 Dec 2013 03:55:18.242,690.372
32,7 Dec 2013 05:15:55.031,7 Dec 2013 05:26:55.830,660.799
33,7 Dec 2013 06:48:05.579,7 Dec 2013 06:59:28.203,682.625
34,7 Dec 2013 08:21:15.844,7 Dec 2013 08:33:16.071,720.227
35,7 Dec 2013 09:56:00.888,7 Dec 2013 10:08:18.031,737.143
36,7 Dec 2013 11:32:05.811,7 Dec 2013 11:44:27.785,741.974
37,7 Dec 2013 13:09:17.474,7 Dec 2013 13:15:58.030,400.556
38,7 Dec 2013 20:29:40.469,7 Dec 2013 20:40:24.979,644.510

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 02:03:46.938,3 Dec 2013 02:15:41.987,715.050
2,3 Dec 2013 03:36:21.400,3 Dec 2013 03:48:13.842,712.442
3,3 Dec 2013 05:08:31.356,3 Dec 2013 05:20:24.025,712.669
4,3 Dec 2013 06:41:05.465,3 Dec 2013 06:53:00.787,715.322
5,3 Dec 2013 08:15:19.972,3 Dec 2013 08:26:13.047,653.076
6,3 Dec 2013 09:52:20.222,3 Dec 2013 09:59:56.747,456.526
7,3 Dec 2013 11:27:46.142,3 Dec 2013 11:39:02.751,676.609
8,3 Dec 2013 13:03:27.352,3 Dec 2013 13:12:14.487,527.134
9,3 Dec 2013 20:25:42.958,3 Dec 2013 20:36:40.773,657.815
10,3 Dec 2013 22:00:26.322,3 Dec 2013 22:10:52.856,626.533
11,3 Dec 2013 23:34:09.979,3 Dec 2013 23:43:31.447,561.468
12,4 Dec 2013 01:06:19.451,4 Dec 2013 01:15:29.581,550.130
13,4 Dec 2013 02:37:11.723,4 Dec 2013 02:47:46.750,635.027
14,4 Dec 2013 04:08:24.842,4 Dec 2013 04:20:15.441,710.599
15,4 Dec 2013 05:42:00.412,4 Dec 2013 05:52:02.824,602.412
16,4 Dec 2013 07:21:34.614,4 Dec 2013 07:30:09.924,515.310
17,4 Dec 2013 08:58:47.124,4 Dec 2013 09:11:04.151,737.027
18,4 Dec 2013 10:36:17.257,4 Dec 2013 10:45:07.194,529.937
19,5 Dec 2013 03:14:47.476,5 Dec 2013 03:27:08.361,740.885
20,5 Dec 2013 04:53:47.179,5 Dec 2013 05:06:28.880,761.702
21,5 Dec 2013 06:32:46.852,5 Dec 2013 06:45:23.953,757.101
22,5 Dec 2013 08:12:20.872,5 Dec 2013 08:19:29.082,428.210
23,6 Dec 2013 00:54:24.603,6 Dec 2013 01:02:44.635,500.032
