"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:17:10.147,3 Dec 2013 01:29:31.548,741.401
2,3 Dec 2013 02:51:04.310,3 Dec 2013 03:03:43.640,759.330
3,3 Dec 2013 04:24:24.036,3 Dec 2013 04:36:56.660,752.624
4,3 Dec 2013 05:57:39.200,3 Dec 2013 06:10:19.152,759.951
5,3 Dec 2013 07:31:59.558,3 Dec 2013 07:44:18.597,739.040
6,3 Dec 2013 09:08:40.011,3 Dec 2013 09:18:56.567,616.556
7,3 Dec 2013 10:47:51.845,3 Dec 2013 10:55:43.484,471.638
8,3 Dec 2013 12:22:23.861,3 Dec 2013 12:34:58.645,754.785
9,3 Dec 2013 19:52:55.011,3 Dec 2013 20:01:15.898,500.887
10,3 Dec 2013 21:26:33.402,3 Dec 2013 21:38:06.529,693.127
11,3 Dec 2013 23:01:46.457,3 Dec 2013 23:12:18.340,631.882
12,4 Dec 2013 00:35:30.548,4 Dec 2013 00:45:23.457,592.909
13,4 Dec 2013 02:07:42.416,4 Dec 2013 02:18:30.446,648.030
14,4 Dec 2013 03:39:37.948,4 Dec 2013 03:51:58.175,740.227
15,4 Dec 2013 05:13:14.812,4 Dec 2013 05:25:09.726,714.913
16,4 Dec 2013 06:52:21.587,4 Dec 2013 07:01:27.464,545.877
17,4 Dec 2013 08:31:46.276,4 Dec 2013 08:44:10.151,743.875
18,4 Dec 2013 10:09:48.399,4 Dec 2013 10:21:41.942,713.543
19,5 Dec 2013 03:00:23.271,5 Dec 2013 03:13:08.693,765.422
20,5 Dec 2013 04:40:13.567,5 Dec 2013 04:53:43.401,809.833
21,5 Dec 2013 06:20:31.840,5 Dec 2013 06:33:59.662,807.822
22,5 Dec 2013 08:00:42.685,5 Dec 2013 08:10:20.657,577.972
23,6 Dec 2013 00:54:59.962,6 Dec 2013 01:04:22.971,563.009
24,6 Dec 2013 02:32:06.638,6 Dec 2013 02:45:25.707,799.068
25,6 Dec 2013 04:12:08.198,6 Dec 2013 04:25:26.141,797.943
26,6 Dec 2013 05:53:14.022,6 Dec 2013 06:02:23.069,549.046
27,6 Dec 2013 22:47:09.668,6 Dec 2013 22:56:51.902,582.234
28,7 Dec 2013 00:23:36.024,7 Dec 2013 00:37:04.015,807.991
29,7 Dec 2013 02:03:51.585,7 Dec 2013 02:17:22.707,811.122
30,7 Dec 2013 03:38:56.399,7 Dec 2013 03:51:13.013,736.614
31,7 Dec 2013 05:12:04.342,7 Dec 2013 05:23:51.363,707.021
32,7 Dec 2013 06:45:15.280,7 Dec 2013 06:57:22.375,727.095
33,7 Dec 2013 08:19:26.399,7 Dec 2013 08:32:10.697,764.298
34,7 Dec 2013 09:55:14.723,7 Dec 2013 10:08:16.316,781.593
35,7 Dec 2013 11:32:25.697,7 Dec 2013 11:45:32.948,787.251
36,7 Dec 2013 13:10:33.071,7 Dec 2013 13:18:11.617,458.546
37,7 Dec 2013 20:35:54.472,7 Dec 2013 20:47:49.907,715.434

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 11:28:22.333,3 Dec 2013 11:40:54.067,751.734
2,3 Dec 2013 13:08:05.578,3 Dec 2013 13:21:32.519,806.941
3,3 Dec 2013 14:48:36.151,3 Dec 2013 15:02:04.720,808.569
4,3 Dec 2013 16:28:21.040,3 Dec 2013 16:39:38.130,677.090
5,4 Dec 2013 09:23:56.153,4 Dec 2013 09:31:32.415,456.262
6,4 Dec 2013 11:00:03.748,4 Dec 2013 11:13:14.978,791.229
7,4 Dec 2013 12:39:58.097,4 Dec 2013 12:53:22.309,804.213
8,4 Dec 2013 14:20:37.258,4 Dec 2013 14:31:07.794,630.536
9,5 Dec 2013 07:16:55.294,5 Dec 2013 07:24:00.965,425.671
10,5 Dec 2013 08:51:46.783,5 Dec 2013 09:05:04.470,797.687
11,5 Dec 2013 10:31:41.783,5 Dec 2013 10:45:14.786,813.002
12,5 Dec 2013 12:09:06.243,5 Dec 2013 12:21:20.179,733.936
13,5 Dec 2013 13:42:18.624,5 Dec 2013 13:53:42.143,683.519
14,5 Dec 2013 15:15:21.855,5 Dec 2013 15:26:52.108,690.253
15,5 Dec 2013 16:49:07.987,5 Dec 2013 17:01:24.614,736.628
16,5 Dec 2013 18:24:25.682,5 Dec 2013 18:37:15.135,769.452
17,5 Dec 2013 20:01:14.500,5 Dec 2013 20:14:11.685,777.184
18,5 Dec 2013 21:39:08.292,5 Dec 2013 21:49:02.147,593.856
