"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:16:54.251,3 Dec 2013 01:31:21.220,866.969
2,3 Dec 2013 02:53:57.143,3 Dec 2013 03:08:36.766,879.623
3,3 Dec 2013 04:30:20.278,3 Dec 2013 04:44:53.367,873.090
4,3 Dec 2013 06:06:42.849,3 Dec 2013 06:21:24.182,881.334
5,3 Dec 2013 07:44:23.166,3 Dec 2013 07:58:39.819,856.653
6,3 Dec 2013 09:24:36.392,3 Dec 2013 09:36:48.899,732.507
7,3 Dec 2013 11:05:55.427,3 Dec 2013 11:18:53.728,778.301
8,3 Dec 2013 12:45:02.678,3 Dec 2013 12:58:35.132,812.454
9,3 Dec 2013 20:28:05.061,3 Dec 2013 20:42:05.945,840.884
10,3 Dec 2013 22:07:08.981,3 Dec 2013 22:20:29.941,800.960
11,3 Dec 2013 23:44:51.644,3 Dec 2013 23:57:13.301,741.657
12,4 Dec 2013 01:20:52.140,4 Dec 2013 01:33:14.260,742.120
13,4 Dec 2013 02:55:47.232,4 Dec 2013 03:09:31.940,824.708
14,4 Dec 2013 04:31:26.863,4 Dec 2013 04:46:00.444,873.581
15,4 Dec 2013 06:10:06.065,4 Dec 2013 06:22:23.894,737.830
16,4 Dec 2013 07:54:52.404,4 Dec 2013 08:08:23.832,811.428
17,4 Dec 2013 09:36:30.467,4 Dec 2013 09:51:42.070,911.603
18,4 Dec 2013 11:21:01.691,4 Dec 2013 11:24:37.989,216.298
19,5 Dec 2013 03:02:18.814,5 Dec 2013 03:17:20.812,901.998
20,5 Dec 2013 04:45:45.750,5 Dec 2013 05:01:28.289,942.539
21,5 Dec 2013 06:29:34.665,5 Dec 2013 06:45:09.549,934.884
22,5 Dec 2013 08:13:18.268,5 Dec 2013 08:24:12.770,654.501
23,6 Dec 2013 01:41:20.396,6 Dec 2013 01:55:56.559,876.164
24,6 Dec 2013 03:24:04.322,6 Dec 2013 03:39:45.099,940.776
25,6 Dec 2013 05:07:53.882,6 Dec 2013 05:22:22.692,868.810
26,6 Dec 2013 22:39:16.523,6 Dec 2013 22:50:35.529,679.006
27,7 Dec 2013 00:18:37.743,7 Dec 2013 00:34:14.158,936.414
28,7 Dec 2013 02:02:22.279,7 Dec 2013 02:18:05.250,942.971
29,7 Dec 2013 03:40:41.862,7 Dec 2013 03:55:01.224,859.362
30,7 Dec 2013 05:16:51.645,7 Dec 2013 05:30:46.519,834.874
31,7 Dec 2013 06:53:10.287,7 Dec 2013 07:07:28.066,857.780
32,7 Dec 2013 08:30:40.704,7 Dec 2013 08:45:33.939,893.234
33,7 Dec 2013 10:09:57.918,7 Dec 2013 10:25:06.699,908.781
34,7 Dec 2013 11:50:40.562,7 Dec 2013 12:05:56.729,916.167
35,7 Dec 2013 13:32:52.743,7 Dec 2013 13:38:58.236,365.492
36,7 Dec 2013 19:38:10.301,7 Dec 2013 19:43:21.504,311.203
37,7 Dec 2013 21:12:00.292,7 Dec 2013 21:27:15.089,914.798

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:00:00.000,3 Dec 2013 01:06:42.923,402.923
2,3 Dec 2013 02:29:45.705,3 Dec 2013 02:44:26.870,881.164
3,3 Dec 2013 04:06:16.914,3 Dec 2013 04:20:50.098,873.185
4,3 Dec 2013 05:42:33.337,3 Dec 2013 05:57:12.769,879.432
5,3 Dec 2013 07:19:46.150,3 Dec 2013 07:34:16.268,870.118
6,3 Dec 2013 08:59:16.262,3 Dec 2013 09:12:10.728,774.466
7,3 Dec 2013 10:41:36.121,3 Dec 2013 10:52:01.272,625.151
8,3 Dec 2013 12:19:55.571,3 Dec 2013 12:34:39.200,883.628
9,3 Dec 2013 20:04:26.097,3 Dec 2013 20:16:55.928,749.831
10,3 Dec 2013 21:42:29.122,3 Dec 2013 21:56:04.418,815.296
11,3 Dec 2013 23:20:35.228,3 Dec 2013 23:33:09.521,754.293
12,4 Dec 2013 00:57:01.169,4 Dec 2013 01:09:13.776,732.607
13,4 Dec 2013 02:32:04.191,4 Dec 2013 02:45:25.268,801.077
14,4 Dec 2013 04:07:20.998,4 Dec 2013 04:21:54.500,873.502
15,4 Dec 2013 05:44:58.676,4 Dec 2013 05:57:56.672,777.996
16,4 Dec 2013 07:29:05.581,4 Dec 2013 07:41:46.939,761.358
17,4 Dec 2013 09:11:10.533,4 Dec 2013 09:26:31.173,920.640
18,4 Dec 2013 10:53:26.809,4 Dec 2013 11:03:33.399,606.590
19,5 Dec 2013 02:37:04.359,5 Dec 2013 02:51:06.454,842.096
20,5 Dec 2013 04:19:42.197,5 Dec 2013 04:35:26.687,944.491
21,5 Dec 2013 06:03:44.392,5 Dec 2013 06:19:25.876,941.485
22,5 Dec 2013 07:47:05.138,5 Dec 2013 08:00:18.358,793.220
23,6 Dec 2013 01:16:18.567,6 Dec 2013 01:29:50.020,811.452
24,6 Dec 2013 02:58:10.662,6 Dec 2013 03:13:49.411,938.748
25,6 Dec 2013 04:41:53.748,6 Dec 2013 04:57:01.946,908.197
26,6 Dec 2013 06:27:45.580,6 Dec 2013 06:35:00.798,435.218
27,6 Dec 2013 22:16:26.504,6 Dec 2013 22:23:38.880,432.376
28,6 Dec 2013 23:53:07.786,7 Dec 2013 00:08:26.418,918.632
29,7 Dec 2013 01:36:19.991,7 Dec 2013 01:52:01.565,941.574
30,7 Dec 2013 03:16:36.591,7 Dec 2013 03:31:04.859,868.269
31,7 Dec 2013 04:52:50.368,7 Dec 2013 05:06:47.237,836.869
32,7 Dec 2013 06:29:01.411,7 Dec 2013 06:43:10.089,848.678
33,7 Dec 2013 08:06:08.430,7 Dec 2013 08:20:54.331,885.902
34,7 Dec 2013 09:44:59.018,7 Dec 2013 10:00:05.455,906.436
35,7 Dec 2013 11:25:24.157,7 Dec 2013 11:40:38.776,914.620
36,7 Dec 2013 13:06:17.290,7 Dec 2013 13:17:31.336,674.046
37,7 Dec 2013 20:47:16.219,7 Dec 2013 21:01:51.980,875.761

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 02:05:31.452,3 Dec 2013 02:20:11.906,880.454
2,3 Dec 2013 03:42:12.354,3 Dec 2013 03:56:47.031,874.677
3,3 Dec 2013 05:18:27.304,3 Dec 2013 05:33:04.084,876.780
