"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:16:50.090,3 Dec 2013 01:31:56.875,906.785
2,3 Dec 2013 02:54:56.198,3 Dec 2013 03:10:14.107,917.909
3,3 Dec 2013 04:32:20.904,3 Dec 2013 04:47:32.354,911.450
4,3 Dec 2013 06:09:46.562,3 Dec 2013 06:25:06.585,920.022
5,3 Dec 2013 07:48:34.527,3 Dec 2013 08:03:28.449,893.922
6,3 Dec 2013 09:30:00.097,3 Dec 2013 09:42:48.940,768.843
7,3 Dec 2013 11:12:11.775,3 Dec 2013 11:26:24.783,853.008
8,3 Dec 2013 12:52:42.899,3 Dec 2013 13:06:22.232,819.334
9,3 Dec 2013 20:40:42.921,3 Dec 2013 20:55:25.182,882.261
10,3 Dec 2013 22:20:45.215,3 Dec 2013 22:34:38.903,833.688
11,3 Dec 2013 23:59:16.240,4 Dec 2013 00:12:14.304,778.064
12,4 Dec 2013 01:36:03.634,4 Dec 2013 01:49:16.292,792.658
13,4 Dec 2013 03:11:59.332,4 Dec 2013 03:26:38.000,878.668
14,4 Dec 2013 04:49:01.328,4 Dec 2013 05:04:05.957,904.629
15,4 Dec 2013 06:30:19.696,4 Dec 2013 06:43:20.344,780.648
16,4 Dec 2013 08:15:41.935,4 Dec 2013 08:30:40.725,898.790
17,4 Dec 2013 09:58:22.097,4 Dec 2013 10:13:38.682,916.585
18,5 Dec 2013 01:54:56.178,5 Dec 2013 02:05:49.558,653.381
19,5 Dec 2013 03:36:19.362,5 Dec 2013 03:52:38.435,979.073
20,5 Dec 2013 05:21:32.112,5 Dec 2013 05:37:55.979,983.867
21,5 Dec 2013 07:06:11.084,5 Dec 2013 07:21:53.153,942.069
22,5 Dec 2013 08:53:54.769,5 Dec 2013 08:56:57.009,182.241
23,6 Dec 2013 00:49:03.029,6 Dec 2013 01:01:11.840,728.812
24,6 Dec 2013 02:30:38.157,6 Dec 2013 02:46:49.889,971.732
25,6 Dec 2013 04:15:23.058,6 Dec 2013 04:31:34.426,971.368
26,6 Dec 2013 06:01:02.468,6 Dec 2013 06:13:06.909,724.442
27,6 Dec 2013 22:04:55.899,6 Dec 2013 22:08:33.076,217.177
28,6 Dec 2013 23:40:17.821,6 Dec 2013 23:56:01.344,943.523
29,7 Dec 2013 01:24:16.890,7 Dec 2013 01:40:40.603,983.713
30,7 Dec 2013 03:06:32.440,7 Dec 2013 03:21:42.538,910.098
31,7 Dec 2013 04:43:49.457,7 Dec 2013 04:58:27.941,878.484
32,7 Dec 2013 06:21:00.625,7 Dec 2013 06:35:46.913,886.288
33,7 Dec 2013 07:59:04.216,7 Dec 2013 08:14:27.679,923.463
34,7 Dec 2013 09:38:52.643,7 Dec 2013 09:54:38.416,945.773
35,7 Dec 2013 11:20:20.738,7 Dec 2013 11:36:15.548,954.810
36,7 Dec 2013 13:02:12.485,7 Dec 2013 13:14:44.980,752.495
37,7 Dec 2013 20:48:30.246,7 Dec 2013 21:03:48.931,918.685

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:00:00.000,3 Dec 2013 01:07:02.889,422.889
2,3 Dec 2013 02:30:29.207,3 Dec 2013 02:45:48.885,919.678
3,3 Dec 2013 04:08:02.145,3 Dec 2013 04:23:13.557,911.412
4,3 Dec 2013 05:45:20.940,3 Dec 2013 06:00:39.098,918.158
5,3 Dec 2013 07:23:40.085,3 Dec 2013 07:38:47.995,907.910
6,3 Dec 2013 09:04:21.663,3 Dec 2013 09:17:52.165,810.503
7,3 Dec 2013 10:47:39.766,3 Dec 2013 10:59:35.233,715.467
8,3 Dec 2013 12:27:14.724,3 Dec 2013 12:42:23.153,908.429
9,3 Dec 2013 20:16:06.807,3 Dec 2013 20:30:18.974,852.167
10,3 Dec 2013 21:55:52.255,3 Dec 2013 22:10:01.112,848.856
11,3 Dec 2013 23:34:48.272,3 Dec 2013 23:47:56.750,788.478
12,4 Dec 2013 01:12:00.295,4 Dec 2013 01:24:59.853,779.558
13,4 Dec 2013 02:47:59.187,4 Dec 2013 03:02:15.540,856.353
14,4 Dec 2013 04:24:32.685,4 Dec 2013 04:39:45.901,913.216
15,4 Dec 2013 06:03:54.656,4 Dec 2013 06:16:49.970,775.314
16,4 Dec 2013 07:49:47.426,4 Dec 2013 08:03:56.419,848.993
17,4 Dec 2013 09:32:42.303,4 Dec 2013 09:48:37.869,955.565
