"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 05:45:54.580,3 Dec 2013 06:01:13.348,918.768
2,3 Dec 2013 07:30:44.561,3 Dec 2013 07:41:17.677,633.116
3,3 Dec 2013 13:07:32.441,3 Dec 2013 13:15:36.768,484.327
4,3 Dec 2013 14:43:32.144,3 Dec 2013 14:59:47.813,975.669
5,3 Dec 2013 16:25:22.310,3 Dec 2013 16:40:50.215,927.905
6,3 Dec 2013 18:09:16.380,3 Dec 2013 18:20:09.038,652.658
7,4 Dec 2013 06:26:04.598,4 Dec 2013 06:41:53.951,949.353
8,4 Dec 2013 08:11:43.415,4 Dec 2013 08:20:23.509,520.094
9,4 Dec 2013 15:28:21.130,4 Dec 2013 15:43:47.619,926.489
10,5 Dec 2013 07:06:38.415,5 Dec 2013 07:22:39.308,960.893
11,5 Dec 2013 08:52:08.367,5 Dec 2013 09:00:19.181,490.814
12,5 Dec 2013 16:14:11.313,5 Dec 2013 16:29:38.906,927.593
13,6 Dec 2013 04:39:27.344,6 Dec 2013 04:47:22.435,475.090
14,6 Dec 2013 06:13:29.427,6 Dec 2013 06:28:12.267,882.840
15,6 Dec 2013 07:50:27.166,6 Dec 2013 08:06:01.098,933.932
16,6 Dec 2013 09:31:59.972,6 Dec 2013 09:41:40.780,580.808
17,6 Dec 2013 17:00:19.368,6 Dec 2013 17:15:42.901,923.533
18,7 Dec 2013 03:48:08.546,7 Dec 2013 03:59:49.762,701.217
19,7 Dec 2013 05:23:10.119,7 Dec 2013 05:38:35.809,925.691
20,7 Dec 2013 07:00:45.316,7 Dec 2013 07:14:50.447,845.131
21,7 Dec 2013 08:41:04.889,7 Dec 2013 08:47:40.613,395.724
22,7 Dec 2013 17:46:35.286,7 Dec 2013 18:01:53.414,918.128
23,8 Dec 2013 01:21:50.832,8 Dec 2013 01:32:18.003,627.171
24,8 Dec 2013 02:56:37.106,8 Dec 2013 03:11:09.625,872.519
25,8 Dec 2013 04:33:11.729,8 Dec 2013 04:48:38.402,926.673
26,8 Dec 2013 06:12:09.219,8 Dec 2013 06:23:53.412,704.193
27,8 Dec 2013 17:01:26.530,8 Dec 2013 17:06:03.585,277.055
28,8 Dec 2013 18:32:49.682,8 Dec 2013 18:48:05.854,916.172
29,9 Dec 2013 02:02:47.987,9 Dec 2013 02:17:11.484,863.497
30,9 Dec 2013 03:43:30.283,9 Dec 2013 03:57:58.500,868.216
31,9 Dec 2013 05:24:18.929,9 Dec 2013 05:32:55.576,516.648
32,9 Dec 2013 17:46:53.945,9 Dec 2013 17:52:40.757,346.812
33,9 Dec 2013 19:18:51.258,9 Dec 2013 19:34:14.794,923.536
34,10 Dec 2013 02:43:27.207,10 Dec 2013 02:57:46.110,858.903
35,10 Dec 2013 04:26:26.387,10 Dec 2013 04:39:53.512,807.125

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 05:21:30.954,3 Dec 2013 05:34:03.863,752.909
2,3 Dec 2013 07:03:09.280,3 Dec 2013 07:17:38.827,869.547
3,3 Dec 2013 14:18:14.341,3 Dec 2013 14:34:26.378,972.036
